lig_id,lig_name
1,n-n-1
2,p-p-1
3,p-p-2
4,p-p-3
5,c-n-1
6,c-n-2
7,c-n-3
8,c-n-4
9,c-n-5
10,c-n-6
11,c-n-7
12,p-p-4
13,p-p-5
71,n-n-2
72,n-n-3
14,p-c-1
15,p-c-2
16,p-c-3
17,p-c-4
27,p-p-6
28,p-p-7
29,p-p-8
30,p-p-9
31,p-p-10
32,p-p-11
33,p-p-12
34,p-p-13
35,p-p-14
36,p-p-15
64,p-p-23
65,p-p-24
66,p-p-25
67,p-p-26
68,p-p-27
69,p-p-28
70,p-p-29
44,p-p-18
18,p-c-5
19,p-c-6
20,p-c-7
21,p-c-8
22,p-c-9
23,p-c-10
24,p-c-11
25,p-c-12
26,p-c-13
42,p-p-16
43,p-p-17
12,p-p-12
13,p-p-13
46,p-p-20
47,p-p-21
48,p-p-22
49,p-c-14
50,p-c-15
51,p-c-16
52,p-c-17
53,p-c-18
54,p-c-19
55,p-c-20
56,p-c-21
57,p-c-22
58,p-c-23
59,p-c-24
60,p-c-25
61,p-c-26
62,p-c-27
63,p-c-28
73,n-o-1
74,n-o-2
75,n-o-3
76,n-o-4
77,n-o-5
78,n-o-6
79,n-o-7
80,p-o-6
81,p-o-7
82,p-o-8
83,p-o-9
84,p-o-10
41,p-o-5
85,p-o-11
86,p-o-12
87,p-o-13
88,p-o-14
89,p-o-15
90,p-o-16
91,p-o-17
92,p-o-18
93,p-o-19
94,p-o-20
95,p-o-21
96,p-o-22
97,p-o-23
98,p-o-24
99,p-o-25
100,p-o-26
101,p-o-27
102,p-o-28
103,p-o-29
104,p-o-30
105,p-o-31
106,p-o-32
107,p-o-33
108,p-o-34
109,p-o-35
110,p-o-36
111,p-o-37
112,p-o-38
116,n-n-7
113,n-n-4
114,n-n-5
115,n-n-6
117,n-n-8
118,p-n-1
119,p-n-2
120,p-n-3
121,p-p-23
122,c-o-1
123,c-o-2
124,c-o-3
125,p-p-24
126,p-p-25
127,p-p-26
128,p-p-27
129,p-p-28
130,n-n-9
131,p-n-4
132,p-n-5
133,p-n-6
134,p-n-7
135,p-n-8
136,p-o-39
137,p-o-40
138,p-o-41
139,p-o-42
140,n-n-10
141,n-n-11
142,n-n-12
143,n-n-13
144,p-o-43
145,p-o-44
146,n-o-8
147,n-o-10
148,n-o-11
149,n-o-12
152,n-o-15
150,n-o-13
151,n-o-14
153,p-o-45
154,p-o-46
155,p-o-47
156,p-o-48
157,p-o-49
158,p-o-50
159,p-o-51
160,p-o-52
161,n-o-16
162,n-o-17
163,n-n-14
164,n-n-15
165,n-n-16
166,n-n-17
167,n-n-18
168,n-n-19
